Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645cb1a062d4187035022f09,5700616b8a49c7000d0c73ad,AWAITING REVIEW,2023-05-11T09:16:43.250000Z,2023-05-11T09:22:55.066000Z,,2023-05-11T09:22:55.562395Z,372,5A34BA6B,3590,35,Female,White,United States,United States,United States,English,No,Full-Time
645cb1a6ccacb4df638d97d1,58a43e029a17120001d910d5,AWAITING REVIEW,2023-05-11T09:13:14.835000Z,2023-05-11T09:16:18.705000Z,,2023-05-11T09:16:19.090073Z,184,5A34BA6B,5659,40,Female,White,United States,United States,United States,English,No,Full-Time
645cb1bb640381fab49eafde,5f5e32a0d6a12c6857b8e127,AWAITING REVIEW,2023-05-11T09:13:44.482000Z,2023-05-11T09:18:38.096000Z,,2023-05-11T09:18:38.547125Z,294,5A34BA6B,5253,27,Male,White,United States,United States,United States,English,Yes,Full-Time
645cb1bbf2fb162e70022ed8,5e646461698a071f2f15423e,AWAITING REVIEW,2023-05-11T09:13:37.897000Z,2023-05-11T09:21:52.960000Z,,2023-05-11T09:21:53.428444Z,496,5A34BA6B,3787,56,Female,White,United States,United States,United States,English,Yes,Full-Time
645cb1bed10f2c670d8d97a6,60fd05d893767fcb40666fc7,AWAITING REVIEW,2023-05-11T09:13:37.595000Z,2023-05-11T09:18:43.521000Z,,2023-05-11T09:18:43.878109Z,306,5A34BA6B,2571,31,Female,White,United States,United States,United States,English,No,Full-Time
645cb1c07ce1cd3165139498,5d62886927a84f00010fbbb4,AWAITING REVIEW,2023-05-11T09:13:36.893000Z,2023-05-11T09:18:44.693000Z,,2023-05-11T09:18:45.150157Z,308,5A34BA6B,4096,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645cb1c8090c738a09ce0eee,60fd56db5fe37ebeca00bc83,AWAITING REVIEW,2023-05-11T09:13:53.488000Z,2023-05-11T09:21:41.622000Z,,2023-05-11T09:21:51.770713Z,469,5A34BA6B,3319,DATA_EXPIRED,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
645cb1cc5ce1fe52a4b78dc8,6113144acb6e1406e376e692,AWAITING REVIEW,2023-05-11T09:13:55.047000Z,2023-05-11T09:21:58.990000Z,,2023-05-11T09:22:04.541955Z,484,5A34BA6B,55,23,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
645cb1cdfd2ea3e75fce0ecb,600150a39d652729f84daf83,AWAITING REVIEW,2023-05-11T09:14:01.565000Z,2023-05-11T09:19:56.598000Z,,2023-05-11T09:19:57.026004Z,356,5A34BA6B,2664,39,Female,White,United States,United States,United States,English,No,Full-Time
645cb1d09ea2b8a5f54d62b6,63d7f67f398e16e63a1fb6cf,AWAITING REVIEW,2023-05-11T09:13:59.738000Z,2023-05-11T09:38:37.490000Z,,2023-05-11T09:38:38.637487Z,1478,5A34BA6B,450,25,Female,White,United States,United States,United States,English,Yes,Full-Time
645cb1d657cb7fb2550b34f2,628e5f283594e1a48a04886f,AWAITING REVIEW,2023-05-11T09:15:59.055000Z,2023-05-11T09:25:11.823000Z,,2023-05-11T09:25:12.248702Z,553,5A34BA6B,2265,32,Male,White,United States,United States,United States,English,No,Part-Time
645cb1d6e5694cd52a209720,630d42ab004b0f34fcf4b52e,AWAITING REVIEW,2023-05-11T09:14:03.628000Z,2023-05-11T09:19:14.947000Z,,2023-05-11T09:19:15.417416Z,312,5A34BA6B,1140,37,Male,White,United States,United States,United States,English,No,Part-Time
645cb1db8ecfc0612f56a40f,60bd28cc95ab27d4f4f6ada3,AWAITING REVIEW,2023-05-11T09:14:08.288000Z,2023-05-11T09:18:37.291000Z,,2023-05-11T09:18:37.885756Z,270,5A34BA6B,4016,55,Male,White,United States,United States,United States,English,No,Full-Time
645cb1dc1a7bdba2da5ab6a9,63f78d9a7a3d118594efff74,AWAITING REVIEW,2023-05-11T09:14:08.286000Z,2023-05-11T09:25:17.669000Z,,2023-05-11T09:25:18.059054Z,670,5A34BA6B,518,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645cb1e62b493e3fc24bad75,63d3f987619fb984bbfd9693,AWAITING REVIEW,2023-05-11T09:14:39.193000Z,2023-05-11T09:38:33.147000Z,,2023-05-11T09:38:33.631582Z,1434,5A34BA6B,503,21,Male,Black,United States,United States,United States,Other,Yes,Full-Time
645cb1e82785eeeccc8f2bef,5f0e9896f5e4e11e12c8f5ac,AWAITING REVIEW,2023-05-11T09:14:21.493000Z,2023-05-11T09:20:51.023000Z,,2023-05-11T09:20:51.709004Z,390,5A34BA6B,3555,24,Male,White,United States,United States,United States,English,No,Full-Time
