session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62754e93204747c872606b64,5c3848fc19ceb400010c24a0,APPROVED,2022-05-06 16:36:38.473000,2022-05-06 16:41:30.923000,292.45,25,1847,1,100,2022-05-06 17:08:32.406000,C6B5AU5W,United States,United States,Full-Time,English,United States,Male,Yes
62754eabf2dddd73ca03263e,5efe7ad27d413c3869386ef7,APPROVED,2022-05-06 16:37:06.402000,2022-05-06 16:47:45.026000,638.624,23,687,2,100,2022-05-06 17:08:46.116000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
62754ec4f3d6d357a5a51562,6029fbe69d62524074a994ac,APPROVED,2022-05-06 16:37:26.443000,2022-05-06 16:50:34.418000,787.975,,1283,1,100,2022-05-06 17:08:46.226000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754ee6cb74edeed768c711,5a5d7a42acc75b00017a8193,APPROVED,2022-05-06 16:38:07.310000,2022-05-06 16:44:24.780000,377.47,42,1501,5,100,2022-05-06 17:08:46.341000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754f0edb9c7d7c41ad85ff,6167206f242b144689a752d3,APPROVED,2022-05-06 16:38:41.246000,2022-05-06 16:50:38.972000,717.726,22,866,3,99,2022-05-06 17:08:46.465000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,Yes
62754f2e5b97da9ac82ede67,5bd8fabf544d4f000141d94d,APPROVED,2022-05-06 16:39:16.381000,2022-05-06 16:45:55.757000,399.376,72,2635,16,99,2022-05-06 17:08:32.582000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754f33877b3ba5901af668,5c796f4b4855980016a15557,APPROVED,2022-05-06 16:39:18.483000,2022-05-06 16:45:59.162000,400.679,46,978,2,100,2022-05-06 17:08:46.592000,C6B5AU5W,Romania,United States,Other,Romanian,United States,Female,No
62754f3b93bec18d4c57e035,5ffe6b8b773ec452c1d28adc,APPROVED,2022-05-06 16:39:26.010000,2022-05-06 16:46:07.098000,401.088,38,883,1,100,2022-05-06 17:08:32.696000,C6B5AU5W,United States,United States,Unemployed (and job seeking),English,United States,Male,No
62754f3de5988ed63a5c8040,5dd31ee6181abc335d955478,APPROVED,2022-05-06 16:39:30.091000,2022-05-06 16:45:09,338.909,26,623,2,100,2022-05-06 17:08:46.768000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754f4182ad99c6e5c0b9ba,5d924b1fc48e5f0017ad2579,APPROVED,2022-05-06 16:39:32.075000,2022-05-06 16:44:08.254000,276.179,37,2063,2,100,2022-05-06 17:08:32.806000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754f529a33e525cf81c892,5f77de0539236537607ecd00,APPROVED,2022-05-06 16:39:50.135000,2022-05-06 16:49:53.615000,603.48,24,394,0,100,2022-05-06 17:08:46.866000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754f593070c36bb50333a0,5aeaff98b128a70001b72de7,APPROVED,2022-05-06 16:39:56.688000,2022-05-06 16:42:13.980000,137.292,34,2812,5,100,2022-05-06 17:08:46.989000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
62754f5db82c463b0a5adcd8,5c008a00bab6730001649924,APPROVED,2022-05-06 16:39:59.856000,2022-05-06 16:43:33.163000,213.307,49,1748,5,99,2022-05-06 17:08:32.910000,C6B5AU5W,United States,United States,Full-Time,English,United States,Male,No
62754f6511cba0f959a92b61,6104312c45e34d934bd27512,APPROVED,2022-05-06 16:40:08.800000,2022-05-06 16:44:48.963000,280.163,,254,1,100,2022-05-06 17:08:47.190000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754f75bbd6a44b3658cf89,60e9c78a617cbabf4732fee6,APPROVED,2022-05-06 16:40:25.238000,2022-05-06 16:44:45.445000,260.207,62,500,0,100,2022-05-06 17:08:33.021000,C6B5AU5W,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
62754f7ba78ede7b06631c99,5e6cade3d92ffb26677dbd84,APPROVED,2022-05-06 16:40:39.993000,2022-05-06 16:45:26.485000,286.492,25,1686,0,100,2022-05-06 17:08:47.305000,C6B5AU5W,United States,United States,Full-Time,Chinese,United States,Female,No
62754f867dca289291fd6741,59639f380b835400010a797c,APPROVED,2022-05-06 16:40:41.407000,2022-05-06 16:46:22.343000,340.936,40,922,1,100,2022-05-06 17:08:47.436000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754f8a3980470373c05ad2,60a36df4d69b4a6a7a8b015a,APPROVED,2022-05-06 16:40:45.290000,2022-05-06 16:47:59.252000,433.962,43,568,6,97,2022-05-06 17:08:47.574000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
62754f8a7a06b23ab4b20092,5e723ffcc1c46a022a71a6dd,APPROVED,2022-05-06 16:40:45.493000,2022-05-06 16:44:15.762000,210.269,33,1480,6,100,2022-05-06 17:08:47.697000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,No
62754f8b19e0428c05e10ebc,5fc1bb340b57fd19363ec256,APPROVED,2022-05-06 16:40:45.369000,2022-05-06 16:47:06.231000,380.862,28,1243,1,100,2022-05-06 17:08:47.863000,C6B5AU5W,United States,United States,Part-Time,Spanish,United States,Female,DATA EXPIRED
62754f963076b7b70ee1bc60,583f12f545073d0001fac52d,APPROVED,2022-05-06 16:41:01.717000,2022-05-06 16:53:20.715000,738.998,37,2099,10,99,2022-05-06 17:08:33.135000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754fa050db48869bc49d02,61588f27299f923d579de650,APPROVED,2022-05-06 16:41:07.969000,2022-05-06 16:48:01.750000,413.781,23,905,0,100,2022-05-06 17:08:48.001000,C6B5AU5W,United States,United States,Full-Time,Chinese,United States,Female,No
