Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6489d6918b050cc9e6af0dac,601478ee2d7cc94b1f1855ec,AWAITING REVIEW,2023-06-14T15:02:57.807000Z,2023-06-14T15:15:21.152000Z,,2023-06-14T15:15:23.020562Z,744,5A34BA6B,2851,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6965d0effc4db700fe4,63ced96b01986b01ef133497,AWAITING REVIEW,2023-06-14T15:02:50.307000Z,2023-06-14T15:05:59.195000Z,,2023-06-14T15:05:59.678961Z,189,5A34BA6B,640,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6489d6aa831bb5a290715c48,5f3d6975ef131710ed519c7a,AWAITING REVIEW,2023-06-14T15:03:09.585000Z,2023-06-14T15:08:27.803000Z,,2023-06-14T15:08:28.274272Z,319,5A34BA6B,3487,34,Male,Mixed,United States,United States,United States,English,No,Full-Time
6489d6b2bf70ec11a1cb8dbd,5fbb89e20ddd50a66ab62a67,AWAITING REVIEW,2023-06-14T15:03:28.153000Z,2023-06-14T15:08:37.753000Z,,2023-06-14T15:08:38.288596Z,310,5A34BA6B,3908,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6b365e8380c0151e3cb,5d7fdfd7d8e176001983ffa2,AWAITING REVIEW,2023-06-14T15:03:52.234000Z,2023-06-14T15:11:33.669000Z,,2023-06-14T15:11:35.026225Z,462,5A34BA6B,2329,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6b6bd32ede04b34bf25,59d8ae913e5ea00001e1d05f,AWAITING REVIEW,2023-06-14T15:03:18.178000Z,2023-06-14T15:14:39.818000Z,,2023-06-14T15:14:50.455309Z,682,5A34BA6B,4790,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6bff2b83a31083602d5,6407946a4bb4212372843398,AWAITING REVIEW,2023-06-14T15:03:33.489000Z,2023-06-14T15:12:11.180000Z,,2023-06-14T15:12:12.547830Z,518,5A34BA6B,787,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
6489d6c31fe1269cb5bd3611,628dfaf2fdd97303f3087572,AWAITING REVIEW,2023-06-14T15:03:37.480000Z,2023-06-14T15:07:49.339000Z,,2023-06-14T15:07:49.799927Z,252,5A34BA6B,1718,32,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6cf7433971934289149,604a7e9f84bf0e7937200df5,AWAITING REVIEW,2023-06-14T15:10:27.743000Z,2023-06-14T15:17:55.094000Z,,2023-06-14T15:17:55.614148Z,448,5A34BA6B,2814,29,Male,White,United States,United States,United States,English,No,Full-Time
6489d6d21c9b245b28b46627,630a2fd6e76ccbe74374656d,AWAITING REVIEW,2023-06-14T15:03:46.773000Z,2023-06-14T15:07:28.602000Z,,2023-06-14T15:07:29.769616Z,222,5A34BA6B,1332,19,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6489d6d37ced3f6678cd3479,63f78d9a7a3d118594efff74,AWAITING REVIEW,2023-06-14T15:06:25.501000Z,2023-06-14T15:16:58.978000Z,,2023-06-14T15:16:59.484611Z,634,5A34BA6B,743,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6489d6db624e71cef5f15652,62957302ad8c1756b553a298,AWAITING REVIEW,2023-06-14T15:05:52.127000Z,2023-06-14T15:10:32.373000Z,,2023-06-14T15:10:32.764069Z,281,5A34BA6B,2367,58,Male,White,United States,United States,United States,English,No,Full-Time
6489d6dc7833e425a1242929,6332517a492e9ac48804f991,AWAITING REVIEW,2023-06-14T15:04:00.046000Z,2023-06-14T15:13:22.120000Z,,2023-06-14T15:14:14.272680Z,563,5A34BA6B,1877,65,Male,White,United States,United States,United States,English,No,Part-Time
6489d6df0c62e8abbd667b00,63fcf26a814570a76bcf2237,AWAITING REVIEW,2023-06-14T15:04:03.479000Z,2023-06-14T15:08:10.832000Z,,2023-06-14T15:08:11.222293Z,248,5A34BA6B,855,32,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6489d6e52254fb6372a32cee,574ce0a57fd0ec000db73aa6,AWAITING REVIEW,2023-06-14T15:04:05.057000Z,2023-06-14T15:14:04.803000Z,,2023-06-14T15:14:33.574753Z,600,5A34BA6B,5245,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6489d6ed9a7eeb6c9ad916d8,63d2a4b549eb02187fd40092,AWAITING REVIEW,2023-06-14T15:04:17.407000Z,2023-06-14T15:11:41.120000Z,,2023-06-14T15:11:42.955334Z,444,5A34BA6B,1135,37,Male,White,United States,United States,United States,English,No,Full-Time
6489d6ee32844a2aaf397ec7,62ddbd7eb3e9431e49b46ec1,AWAITING REVIEW,2023-06-14T15:04:20.040000Z,2023-06-14T15:07:30.212000Z,,2023-06-14T15:07:33.353002Z,191,5A34BA6B,1182,73,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
