Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63555a6eac072eb8584ce4a8,5aa117356475f90001a02fd6,AWAITING REVIEW,2022-10-23T15:15:01.817000Z,2022-10-23T16:02:14.146000Z,,2022-10-23T16:02:14.564748Z,2833,5A34BA6B,906,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555a9079089aae3c4646a5,5c4f2807ae1e8a000180a7ac,AWAITING REVIEW,2022-10-23T15:15:32.541000Z,2022-10-23T15:16:27.553000Z,,2022-10-23T15:16:28.021615Z,56,5A34BA6B,765,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555a9ce80edd5d3573c8ca,6343319a992461d9273f488a,AWAITING REVIEW,2022-10-23T15:15:43.407000Z,2022-10-23T15:26:13.725000Z,,2022-10-23T15:26:14.107920Z,631,5A34BA6B,8,46,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63555aa536d498188b63e00d,5f24993238b9f80892adf099,AWAITING REVIEW,2022-10-23T15:15:53.974000Z,2022-10-23T15:21:18.387000Z,,2022-10-23T15:21:18.868261Z,325,5A34BA6B,13,33,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
63555aaa47ed2cf84bc9abfd,614920d4e7ca7a4887bcb227,AWAITING REVIEW,2022-10-23T15:15:58.042000Z,2022-10-23T15:24:42.510000Z,,2022-10-23T15:24:43.107412Z,525,5A34BA6B,122,30,Female,White,United States,United States,United States,English,No,Full-Time
63555b0768b1145ca1ea24be,60fda4bd3deca130cc1a5c7e,AWAITING REVIEW,2022-10-23T15:17:31.603000Z,2022-10-23T15:22:27.049000Z,,2022-10-23T15:22:27.489206Z,296,5A34BA6B,72,25,Female,Mixed,Chile,United States,United States,Spanish,Yes,Full-Time
63555b0d6598b7b71c388af4,5e8caf1b063693041f6ac524,AWAITING REVIEW,2022-10-23T15:17:37.704000Z,2022-10-23T15:31:37.027000Z,,2022-10-23T15:31:37.364553Z,840,5A34BA6B,1771,39,Male,White,United States,United States,United States,English,No,Full-Time
63555b0e073a82c1ecf4b388,60c605fdb8d40cddbf88c09b,AWAITING REVIEW,2022-10-23T15:17:36.761000Z,2022-10-23T15:25:01.717000Z,,2022-10-23T15:25:02.089022Z,445,5A34BA6B,758,32,Female,White,United States,United States,United States,English,No,Full-Time
63555b107ed311745216cef7,5d2731384cf6340001eca534,AWAITING REVIEW,2022-10-23T15:17:40.055000Z,2022-10-23T15:26:20.310000Z,,2022-10-23T15:26:20.659081Z,521,5A34BA6B,194,41,Male,White,United States,United States,United States,English,No,Other
63555b11952cc9554c9741f0,634ab65face98683f8138cf2,AWAITING REVIEW,2022-10-23T15:17:48.550000Z,2022-10-23T15:38:24.049000Z,,2022-10-23T15:38:24.477975Z,1236,5A34BA6B,16,74,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
