session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
626953c557cbf82a8ec895fb,5e29202a95734f0e3ce19602,AWAITING REVIEW,2022-04-27 14:31:33.078000,2022-04-27 14:36:52.185000,319.107,26,100,0,100,,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,Yes
626954bbfcac21d44f65a486,61079a59dc92d8a2d47adc3f,AWAITING REVIEW,2022-04-27 14:35:42.068000,2022-04-27 14:44:07.563000,505.495,30,370,3,99,,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
62695527e96246fa886d7b05,595d77593bc7aa0001037162,AWAITING REVIEW,2022-04-27 14:37:30.311000,2022-04-27 14:44:53.188000,442.877,,416,0,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6269568603441a2db0c071c7,5e22fce6db62ba5aec3e53b1,AWAITING REVIEW,2022-04-27 14:43:21.932000,2022-04-27 14:45:32.089000,130.157,37,1901,5,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6269576931111158dfc6a992,5d2c030eb3efb1001b7e4989,AWAITING REVIEW,2022-04-27 14:47:09.763000,2022-04-27 14:53:02.059000,352.296,48,303,0,100,,C6B5AU5W,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Yes
626957870484cf1d4c91540e,612fdaecc1abdf34d995ae90,AWAITING REVIEW,2022-04-27 14:47:37.240000,2022-04-27 14:57:56.812000,619.572,28,431,5,99,,C6B5AU5W,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
626958f739937f455f1c5584,60feea86c2cd1da8825671bc,AWAITING REVIEW,2022-04-27 14:53:45.557000,2022-04-27 14:56:50.596000,185.039,30,531,2,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62695adf9df03740b5c4cf90,5a708ef2f1530b000103bfab,RETURNED,2022-04-27 15:01:53.953000,,23100.053013,40,1268,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62695b2b97a8261ddbef94ea,60f0666751e820d359e5a325,AWAITING REVIEW,2022-04-27 15:03:11.241000,2022-04-27 15:11:48.178000,516.937,31,672,3,99,,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
62695b51598f007971a369dd,60ff2fc96585bd1f07882104,AWAITING REVIEW,2022-04-27 15:03:48.770000,2022-04-27 15:09:53.623000,364.853,23,183,0,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62695c270e818abc64ff52a5,5c5dba4ed86a7f000191e5d5,AWAITING REVIEW,2022-04-27 15:07:23.254000,2022-04-27 15:13:18.223000,354.969,58,2116,20,97,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,No
62695c87b4fa924f4965b193,6018aeeb0fa3e419a12c1423,AWAITING REVIEW,2022-04-27 15:08:59.398000,2022-04-27 15:18:09.785000,550.387,36,274,1,100,,C6B5AU5W,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
62695d07d824eb1567449408,6163437195ee718c35a1610a,AWAITING REVIEW,2022-04-27 15:11:06.205000,2022-04-27 15:14:33.676000,207.471,26,130,0,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62695d33004065f0397f2dd1,607ec28e6a0bde56a9d69ddc,AWAITING REVIEW,2022-04-27 15:11:52.059000,2022-04-27 15:26:55.921000,903.862,57,619,0,100,,C6B5AU5W,Serbia,United States,Full-Time,English,United States,Male,No
62695dade50993154caecf7e,5cb29cc0a9827c0001e7e477,RETURNED,2022-04-27 15:13:54.116000,,22379.97859,,1186,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62695e58852b095cc4dff0a8,610da052e73bf3db58b1402f,AWAITING REVIEW,2022-04-27 15:17:00.783000,2022-04-27 15:32:23.879000,923.096,49,615,4,99,,C6B5AU5W,United States,United States,Part-Time,English,United States,Female,No
62695e5a8d3764c02433b17e,614a508a459c858a5ac5d2e1,AWAITING REVIEW,2022-04-27 15:16:49.741000,2022-04-27 15:31:14.835000,865.094,61,262,1,100,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6269605dd14cc0eff11a108b,5aad9c53c4914b0001a39659,AWAITING REVIEW,2022-04-27 15:25:23.292000,2022-04-27 15:32:31.051000,427.759,,1716,2,100,,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
6269606e993db0e6958ad70a,60d76140337e60ae26f7fce9,AWAITING REVIEW,2022-04-27 15:25:39.406000,2022-04-27 15:31:11.494000,332.088,42,435,3,99,,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
626960cb28107f7c867b5fe4,5ec735fc4131bd17f438838c,AWAITING REVIEW,2022-04-27 15:27:12.412000,2022-04-27 15:30:11.652000,179.24,26,1068,5,100,,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,No
